State/Union Territory,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Andaman & Nicobar Islands,198,202,223,315,,,,
Andhra Pradesh,7384,6373,3551,5347,6713.5,6753.4,7522.1,7940.9
Arunachal Pradesh,283,357,591,536,708.4,936.1,1118.3,1013
Assam,1539,1711,1927,2864,3196.8,4514.9,4663,5446.3
Bihar,2566,2655,3689,4653,5593.1,6378.2,7741.2,8078.5
Chandigarh,225,253,302,374,,,,
Chhattisgarh,1315,1582,2376,2754,3353.2,4081.3,3830.8,4787.5
Dadra & Nagar Haveli,57,63,93,101,,,,
Daman & Diu,45,42,50,64,,,,
Delhi,2734,3067,3726,3759,4167.4,4882.2,5634.9,5930.4
Goa,425,463,507,575,670.7,923.2,954.2,1097.9
Gujarat,4675,5138,6446,7199,7781.9,8623.6,10100,10395.9
Haryana,1721,1895,2410,2706,3288.4,3624.6,4302.3,5378.3
Himachal Pradesh,1097,1175,1411,1533,1916.8,2153,2378.3,2460.9
Jammu & Kashmir,1205,1365,1461,1954,1938.4,2109.3,1904.3,1882.5
Jharkhand,1010,1149,1631,2182,2489.2,2853.7,3382.2,3151.8
Karnataka,4042,4656,6011,6015,7042.1,8317.5,9705.1,9474.1
Kerala,3244,3638,4229,4772,5987.9,6482.1,7099,7539.2
Lakshadweep,42,44,50,58,,,,
Madhya Pradesh,3342,3491,4799,5523,6012.5,7524.8,7826,9672.7
Maharashtra,6433,7410,9009,10052,10771.6,12221.9,13054.9,14755.8
Manipur,332,412,578,486,479.6,580.2,493.9,667.8
Meghalaya,399,452,574,644,814.8,1446.4,1108.5,910.7
Mizoram,225,348,418,451,491,664.3,653.8,651.2
Nagaland,376,302,418,465,495.6,613.3,630.2,668.9
Odisha,1810,2014,3233,3744,4790.8,5057.4,5833.2,6293
Puducherry,300,361,440,488,491.2,504.6,579.7,734.6
Punjab,2047,2098,2578,2801,3042.4,2812.7,3437.2,3777.3
Rajasthan,3939,4796,6511,7818,8317.9,10068.5,12665.6,12210.7
Sikkim,245,256,261,262,283.3,463.2,408.5,427.1
Tamil nadu,5484,6202,7696,8525,8848.1,10864.7,13157.8,13012.4
Telangana,,,2650,3948,5154,5213.2,5545.2,7303.8
Tripura,318,409,596,610,690.2,785.5,934.9,907.4
Uttar Pradesh,8798,9488,12209,13796,16344.1,17265.3,18344.9,20250.2
Uttarakhand,966,1074,1534,1496,1541.9,1659.8,2146.4,2144.7
West Bengal,4096,4920,6495,7976,8367.7,9107.1,9982.6,11093
